id,title,content,result,url
2,新冠肺炎男性患者的死亡率更高,近日有研究也表明全球60%的新冠死亡患者为男性，且比例接近女性患者的2倍。,真,https://vp.fact.qq.com/article?id=60df9d85d6bfa16c628dc3549cded1ff
3,新冠死者平均只损失了几个月的寿命,此前有不少新闻显示很多国家新冠病死者年龄都比较大，让不少人以为这些上年纪的老人即使不患病也离死亡不远了。如美国新冠死者年龄中位数是78岁，而该国预期寿命是78.8岁。于是有人认为，新冠对死者平均寿命的影响只有几个月。,假,https://vp.fact.qq.com/article?id=96bc42ee0e4e6c96bef3d0df5d42345f
4,人类可能无法对新冠病毒获得持久的免疫保护,有研究表明新冠病毒抗体的半衰期很短，所以我们可能没有办法对新冠病毒获得长时间的免疫保护。,真,https://vp.fact.qq.com/article?id=343da72d4a0f61b5bf14b2bc58f0c968
5,警犬能够准确闻出感染新冠的人,2020年7月30日，阿联酋机场实际使用警犬作为一条额外的防线来辨别Covid-19病例。它们将用于警察巡逻，保护商场、活动、机场和其他重要设施。 国家队的专门小组分布在该国的机场，以监督实际应用，监测和检查从腋下入境的人身上采集的样本，训练有素的狗可以在几秒钟内确定此人是否感染的可能性。,疑,https://vp.fact.qq.com/article?id=26269c39baf75de8737ef839f43e0bca
6,香港新冠“二次感染”病例意味着群体免疫可能无效,许多人期待着有足够多的人对新冠病毒产生免疫后，能够实现群体免疫，二次感染的发生可能意味着群体免疫无法实现。,真,https://vp.fact.qq.com/article?id=33c1d15df0f1a82864427b100aa24f0c
7,印度卫生部长检查基层防疫，不戴口罩者直接扇嘴巴,网传视频称：印度卫生部长检查基层防疫工作，不戴口罩者直接扇大嘴巴。,假,https://vp.fact.qq.com/article?id=aa1530d3d81b7eae8289853752d2da59
8,大数据显示，新冠并没有造成更多人死亡,近期热传的文章《大数据下的疫情透视》（或类似《奇怪！大数据显示，新冠并没有造成更多人死亡》等各种变种文章），将新冠疫情相关数据与肝炎病毒感染情况、流感感染情况、多国历史死亡数等多项数据进行对比，宣称新冠病毒的威力并没有人们想象的强，严格的防疫措施大多是不必要的，比如瑞典就靠...,假,https://vp.fact.qq.com/article?id=52a7cb98ec05cb2dcd682d8730fdf277
9,普京女儿注射疫苗后高烧不治身亡,加拿大媒体“今日多伦多”报道称普京女儿注射新冠疫苗后高烧不治身亡。,假,https://vp.fact.qq.com/article?id=4b2de35c66fdcfd36b8bf3183dec6d73
10,新冠病毒会感染中耳组织,近日，一项最新研究表明，新冠病毒不仅会导致干咳和嗅觉丧失，还会导致听力下降，可能感染中耳组织。,疑,https://vp.fact.qq.com/article?id=a15fd960093ece8897fae7c76eeb3699
11,新冠灭活疫苗已开卖，498元一支，总共打3支,新冠疫苗开卖了，9月2日正式上市，498一支，总共打3支，已经出来了。医护人员和出国人员可以先用，差不多年底能普及。,假,https://vp.fact.qq.com/article?id=a7faa0054a1a5a45acef142102c4100b
12,水是新冠病毒的重大弱点,俄罗斯科学家发现新冠病毒的重大弱点，沸水能完全杀死新冠病毒，氯化水是杀死新冠病毒的“高效”水。,假,https://vp.fact.qq.com/article?id=d46e41da0bb73fbd37a1cc57acd6fc15
13,新冠疫苗对BMI大于30的人无效,新冠疫苗对BMI＞30的人没有作用？——来自较真用户@唯识的提问。,疑,https://vp.fact.qq.com/article?id=c903972979f88432a03619ccb6107457
14,日本流行的新冠病毒株已发生重大突变,日本《读卖新闻》8日报道称，日本国立感染症研究所最新研究发现，6月以来在日本扩散的新冠病毒是变异后的、具有新型基因序列的新冠病毒，目前日本国内大量增加的新冠确诊病例大都属于这种变异后新冠病毒的感染者。,假,https://vp.fact.qq.com/article?id=91b2fcf6db227583fd10a9f106ba1ad4
15,研究发现高个子感染新冠病毒的风险更大,有媒体报道称，对美国和英国2000人进行的一项新调查结果显示，身高超过6英尺（约1.83米）的人感染新冠病毒的风险比身高较矮的人高出一倍，报道还称这也证实了新冠病毒的气溶胶传播。,疑,https://vp.fact.qq.com/article?id=7af61054391822098600d420e46c57c8
16,又有一种新型病毒在武汉传播,7月30日，有网民发帖称：“又有一种新型病毒在武汉传播，现已死亡十几人，大家千万别到武汉来”。,假,https://vp.fact.qq.com/article?id=9174290456f4093bf263813c41af0719
17,云南吃野生菌中毒死亡人数已超当地新冠死亡人数,2020年上半年，云南吃菌中毒死亡人数超过了云南省患上新冠肺炎死亡人数。,真,https://vp.fact.qq.com/article?id=844137521cbb88ea4adff9d4f82f669e
18,大连新冠疫情与北京新疆疫情有关联,此次大连的新冠肺炎疫情与北京新疆发生的疫情是有关联的。,假,https://vp.fact.qq.com/article?id=32bb7d9d8e7a92eb2a910bbba7075f9d
19,美国新冠感染数字造假，往大了编,日前，网上有不少文章称美国新冠感染数字造假，是“往大了编”。,假,https://vp.fact.qq.com/article?id=9c6aaa8e5614828d19ab9e0fd7daa1d0
20,新冠恐怖后遗症出现！每个患者都会出现可怕血栓！,新冠疫情发生至今已过半年，随着越来越多患者康复出院，关于其后遗症的说法也越来越多，近日网传一篇文章称：“新冠恐怖后遗症出现！每个患者都会出现可怕血栓！尸检结果震惊全球”，这个标题让读者产生了这样一个印象：只要被新冠病毒感染，就都会出现可怕的血栓后遗症。全世界如今已经有140...,假,https://vp.fact.qq.com/article?id=5604891620a61a5c7b371a31773e8f94
21,钟南山院士已抵达新疆乌鲁木齐抗击疫情,近日，一段“钟南山来新疆了”的短视频在社交媒体广泛传播，#钟南山乌鲁木齐##钟南山新疆#的话题阅读量飙升。,假,https://vp.fact.qq.com/article?id=2dacc2b3b7337e823d3307a489c4d300
22,新冠疫情使巴西的死亡率不增反降,严重受新冠疫情影响的巴西，2020年全国死亡率反而下降。缘由是：虽然新冠让死亡人数增加，但由于防疫隔离措施，巴西治安好转，因此而死的人数大大下降了。,假,https://vp.fact.qq.com/article?id=6f4b60a5758a8a9c6d0bd010787e3f34
23,乌鲁木齐新冠疫情由哈萨克斯坦入境者引起,此次乌鲁木齐新冠疫情是由某女从哈萨克斯坦入境未经核酸检测和隔离措施而引起。,假,https://vp.fact.qq.com/article?id=4eab505c0350da8c5fc8cce45f990fc8
24,健康宝头像框变红表明核酸检测异常,“健康宝”照片周边动态虚线框“跑马灯”颜色突然变红，是自己核酸检测出现了问题。,假,https://vp.fact.qq.com/article?id=c35e318b53207916b6b06a77ccc75bd7
25,新冠抗体在人体只能持续几周时间,有研究发现，感染新冠病毒后产生的抗体短短几周的时间，在人体就急剧下降。,疑,https://vp.fact.qq.com/article?id=d2746b2d74e7b9a4bb6d4b78108f7314
26,新冠病毒早已藏在世界各地，处于休眠状态,7月6日，多家媒体报道称“牛津大学专家认为越来越多的证据表明新冠病毒在亚洲出现之前就已在其他地方出现。牛津大学的研究结论还提出，新冠病毒可能“藏身”于世界各地，在特定环境下被激活，而非源自中国”，内文主要讲述的是牛津大学循证医学中心高级副讲师汤姆·杰斐逊博士在接受英国《每日...,疑,https://vp.fact.qq.com/article?id=a3f43d54db158975742eeee19b0c77cf
27,西班牙从去年3月的废水检出新冠病毒相关研究漏洞大,西班牙巴塞罗那大学肠道病毒小组进行的一项研究中，研究人员在巴塞罗那本地2019年3月的冷冻废水样本中检测出了新冠病毒，但该研究漏洞百出，并不能说明病毒去年3月已经在巴塞罗那传播。,真,https://vp.fact.qq.com/article?id=89c2c4085cc13c5c78ab73d245218c0a
